Bx_1,Bx_2,Bx_3,Bx_4,By_1,By_2,By_3,By_4
5.4297,5.2275,4.107,3.2912000000000003,4.6494,1.9055,1.8241999999999998,2.1426333333333334
3.2912000000000003,2.4754,1.9643,1.8295166666666667,2.1426333333333334,2.4610666666666665,3.1792333333333334,4.222583333333333
1.8295166666666667,1.6947333333333332,1.9362666666666666,2.2423666666666664,4.222583333333333,5.265933333333333,6.6344666666666665,7.108716666666666
2.2423666666666664,2.5484666666666667,2.9191333333333334,3.6913833333333335,7.108716666666666,7.582966666666666,7.162933333333332,7.349249999999999
3.6913833333333335,4.463633333333333,5.637466666666667,6.600683333333333,7.349249999999999,7.535566666666666,8.328233333333333,8.4197
6.600683333333333,7.563899999999999,8.3165,8.397933333333333,8.4197,8.511166666666668,7.901433333333333,7.454283333333333
8.397933333333333,8.479366666666667,7.889633333333333,7.580733333333334,7.454283333333333,7.007133333333333,6.722566666666666,5.980683333333333
7.580733333333334,7.271833333333333,7.243766666666667,7.572333333333333,5.980683333333333,5.2387999999999995,4.0396,3.4298499999999996
7.572333333333333,7.9009,8.5861,8.4822,3.4298499999999996,2.8200999999999996,2.7998,2.3323250000000004
8.4822,8.3783,7.4853,6.4575,2.3323250000000004,1.8648500000000001,0.9502,1.3974
