dx,dy
5.4297,4.6494
5.5463968749644135,3.5356758967716218
5.779790624893241,1.3082276903148664
2.8161375004270344,1.5506892387405342
0.8746593733986223,2.9464153547229968
2.404425005978477,10.048049342367477
2.574440602687468,4.879387275807094
7.03661258327165,10.891801554404148
10.146909064225932,6.278806506576324
6.790351159824631,7.743172419290555
6.491086296475546,1.3765038162614585
10.539503654273187,3.7932123156636113
6.978699086431703,0.12764692108409728
6.631233028810567,0.9741489736946991
6.4575,1.3974
